step,q1,q2,cv,q3,ch,mse,log_mse,mae,log_mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,0.0,10.0,0.0,2.664279996622554e-08,-17.440746307373047,0.00016519649943802506,-8.708374977111816,-4.810091240869951e-07,-3.472792968750582e-06,0.00013611702888738364,0.00018636837194208056,0.5151147999567911,0.0,0.0,0.00016519649943802506
1,-30.0,30.0,-0.006,-30.0,-0.006,1.4506898878607899e-05,-11.140886306762695,0.00591310765594244,-5.130583763122559,-0.0031280789989978075,-0.001689643133431673,0.001912244246341288,0.0002785257820505649,0.0023212999803945422,0.0,0.0,0.00016519649943802506
2,27.12866963478973,-18.224618995049873,0.004090660035079592,11.72190030976157,0.003767978828367254,3.671693411888555e-05,-10.212272644042969,0.008064338006079197,-4.820303440093994,0.001956287771463394,0.005710059776902199,0.0007539291982538998,4.205176810501143e-05,0.0020216000266373158,0.0,0.0,0.00016519649943802506
3,-2.9194778977776132,-10.617490037352868,-0.0016644033325138691,11.85022746496118,-0.0015015471676246184,6.070265499147354e-06,-12.012107849121094,0.0032908995635807514,-5.716594219207764,-0.0007795945275574923,-0.0023284011986106634,0.00027003648574464023,9.577129821991548e-05,0.0021000999258831143,0.0,0.0,0.00016519649943802506
4,25.155390454732938,4.748534330643636,-0.0002877799360506678,7.752312002253917,-0.00036361545960778637,1.2901276704724296e-06,-13.560769081115723,0.001531234011054039,-6.4816813468933105,-0.00019111689471174031,-0.0003936252323910594,0.0004961426602676511,0.0013968410203233361,0.001977000036276877,0.0,0.0,0.00016519649943802506
5,-8.30464440293297,-26.590876034397766,0.000675230859804427,4.738007072392819,-0.0022600482006770394,3.397663931536954e-06,-12.592422485351562,0.0029382705688476562,-5.829934120178223,-0.001168144284747541,0.0008119606645777822,0.0016332517843693495,0.00028307922184467316,0.0021231999853625894,0.0,0.0,0.00016519649943802506
6,4.963749857006421,-20.505303863570862,-0.00015393457272931015,12.548981211007796,0.0032541555299369592,2.9463724331435515e-06,-12.734935760498047,0.0020868508145213127,-6.1720991134643555,0.0016928061377257109,-0.00021464093879330903,0.00012917150161229074,0.00022963606170378625,0.002642500097863376,0.0,0.0,0.00016519649943802506
7,25.402145941622393,-8.048719975617962,0.0002345230121171365,24.09626716397829,-0.0042497482901000996,5.671528015227523e-06,-12.080052375793457,0.003204732434824109,-5.74312686920166,-0.002209567232057452,0.00039429383468814194,7.854346767999232e-05,0.001123199239373207,0.002403800026513636,0.0,0.0,0.00016519649943802506
8,-6.536605524522374,12.552373102429234,0.00021357149845207372,25.337678654369686,0.0005176802736157165,3.0968283226684434e-07,-14.987717628479004,0.0009365933947265148,-6.97326135635376,0.000267523544607684,0.00038140310789458454,0.00038713274989277124,0.0001882006908999756,0.002782900002785027,0.0,0.0,0.00016519649943802506
9,-7.05276141425734,17.174639807048294,6.89689391063264e-05,-18.862577240429044,0.0009422444917947964,2.5596847308406723e-07,-15.178211212158203,0.0006263422546908259,-7.375613689422607,0.0004893172881565988,3.890897278324701e-05,0.00017157616093754768,2.4655806555529125e-05,0.0026517000515013933,0.0,0.0,0.00016519649943802506
10,22.50784548061363,26.963215090259805,0.0005697283084731393,-17.934237301581412,0.001183136706759308,7.656589104954037e-07,-14.082529067993164,0.001453400938771665,-6.533848762512207,0.0006124649662524462,0.00032509572338312864,0.0006528337253257632,0.0003788467438425869,0.0021663999650627375,0.0,0.0,0.00016519649943802506
11,-12.139086617040705,27.678490609348295,-0.0003023707934912575,-10.845757800889889,0.000633706966097329,6.302639690147771e-07,-14.277127265930176,0.0010805395431816578,-6.830294609069824,0.00032543292036280036,-0.00023095469805411994,0.0009671892039477825,8.111480565275997e-05,0.002697100047953427,0.0,0.0,0.00016519649943802506
12,-28.538341673391287,-11.126349951161624,-4.523999755603606e-05,-4.126630738339427,0.0007576883496325453,6.292801117524505e-06,-11.976104736328125,0.0023281723260879517,-6.062671661376953,0.0004088683344889432,-3.816616299445741e-05,0.0034890843089669943,0.0002731913991738111,0.0021215999731794,0.0,0.0,0.00016519649943802506
13,5.017915154571665,-18.738745754579355,-2.0637126325671043e-05,9.86270570259572,0.0005248527759276649,1.0381386061908415e-07,-16.080665588378906,0.00046634997124783695,-7.670574188232422,0.0002737190807238221,-2.4658875190652907e-05,0.0001596619258634746,0.00017628214845899493,0.002673199982382357,0.0,0.0,0.00016519649943802506
14,0.40450483231124024,8.276267272981473,-4.436174201765296e-05,-19.671025620546256,5.4533670021703255e-05,5.51709256058075e-09,-19.01541519165039,0.00011248544615227729,-9.092686653137207,2.886557012971025e-05,-2.3210988729260862e-05,8.267742668977007e-05,3.8140347896842286e-05,0.0020349998958408833,0.0,0.0,0.00011248544615227729
15,13.889058699050526,20.336893025846532,-0.006,27.3494743835547,0.006,0.00014039964298717678,-8.871017456054688,0.015787795186042786,-4.148518085479736,0.0031199960503727198,-0.011256832629442215,1.1623943464655895e-05,0.002810307778418064,0.002190800034441054,0.0,0.0,0.00011248544615227729
16,20.19460713165346,-24.132701722353833,0.0005147795535043385,-12.014618806532361,8.440989006774742e-06,1.6126258515214431e-06,-13.337646484375,0.0014017797075212002,-6.57001256942749,-2.2148260541143827e-06,0.0003854850074276328,0.0016741284634917974,0.00035403145011514425,0.0022880000760778785,0.0,0.0,0.00011248544615227729
17,2.456751986551626,-14.89413951539478,-0.000261182612987201,-29.114101147595843,-0.000871464724369595,1.1467234344308963e-06,-13.67860221862793,0.001285796519368887,-6.656376838684082,-0.00044691775110550225,-7.600028766319156e-05,0.001362235052511096,0.00016352187958545983,0.00275010010227561,0.0,0.0,0.00011248544615227729
18,2.6107441487343364,25.052564493584317,0.00039498639426921927,-1.714394460575667,-0.0010192705894534193,7.818659923941595e-07,-14.061582565307617,0.0015097307041287422,-6.495823860168457,-0.0005323751247487962,0.000389314373023808,0.0005551091162487864,0.0006209733546711504,0.0027318999636918306,0.0,0.0,0.00011248544615227729
19,4.812246519896349,0.07451230369358466,-0.0002613559762671913,-20.909747725619777,0.0010002873995271552,2.982979481203074e-07,-15.02517318725586,0.0007513059535995126,-7.193697452545166,0.0005208284128457308,-0.00013063487131148577,0.00010113966709468514,9.854572272161022e-05,0.005447300034575164,0.0,0.0,0.00011248544615227729
20,7.850187149449007,12.091011857969368,-5.244407049804629e-05,25.069852313705304,0.0005817514855935719,1.2091209100617561e-06,-13.625617027282715,0.0012262805830687284,-6.703769683837891,0.00030193637940101326,-0.00012112381227780133,0.00012637377949431539,0.0014800670323893428,0.005275700008496642,0.0,0.0,0.00011248544615227729
21,6.291731258460048,-29.533135952281228,0.00020292244522509095,-21.701432214877144,0.0009267529599037491,7.598845854772662e-07,-14.090099334716797,0.0012010256759822369,-6.724579334259033,0.00048666392103768885,0.00010302703594788909,0.000983756734058261,0.0002389125875197351,0.002080500009469688,0.0,0.0,0.00011248544615227729
22,2.727066227799994,-3.781401620666761,0.0003906753308703061,-28.660232096429507,0.0011417886951873147,5.891312753192324e-07,-14.344616889953613,0.0011286637745797634,-6.7867207527160645,0.00059676100499928,0.0001257160765817389,0.0006346935406327248,0.00017767996178008616,0.002732299966737628,0.0,0.0,0.00011248544615227729
23,6.821254565433757,7.409977648129121,1.0783262932542816e-05,9.042610593272075,0.00047564591319745615,3.181206125191238e-07,-14.960835456848145,0.0006921566091477871,-7.275698184967041,0.00024653165019117296,1.6321464499924332e-06,0.00019861450709868222,0.0006893710815347731,0.002081400016322732,0.0,0.0,0.00011248544615227729
24,0.7829612988428725,-4.0882849954693565,-8.966694385931391e-05,0.03387735958396347,0.00040862115865008934,9.766499431407283e-08,-16.141721725463867,0.00047909398563206196,-7.643613815307617,0.00021383151761256158,-9.636487084208056e-05,0.0002877608931157738,5.003432306693867e-05,0.002076999982818961,0.0,0.0,0.00011248544615227729
25,5.791768729418874,-12.781054879197592,-6.496396298166992e-05,6.204900986252666,0.00016453853146851749,1.8257688694234275e-08,-17.818679809570312,0.00021966517670080066,-8.423405647277832,8.608465577708557e-05,-8.02401191322133e-05,9.288083674618974e-05,1.3799939551972784e-05,0.002498700050637126,0.0,0.0,0.00011248544615227729
26,-1.7704891654292993,5.7747108640630085,-2.599479351054298e-05,-6.069149574254839,0.0005690372001664506,1.0614411394271883e-07,-16.058467864990234,0.0004460243508219719,-7.715137004852295,0.00029672321397811174,-2.4878268959582783e-05,0.00016913840954657644,7.97072789282538e-05,0.0026311000110581517,0.0,0.0,0.00011248544615227729
27,-0.048957559320831345,-0.12619033098890817,-7.275959410411699e-05,-11.85589203465132,0.00041472965547687294,1.4564241723746818e-07,-15.742111206054688,0.000494246487505734,-7.612476348876953,0.00021768940496258438,-5.3829986427444965e-05,0.0004366165667306632,8.837705536279827e-06,0.002807099954225123,0.0,0.0,0.00011248544615227729
28,0.5584776908457653,-26.212547192819823,-0.00020095231171004258,8.25840032588489,-9.767250555503228e-05,3.2379037406826683e-07,-14.943169593811035,0.0007905323873274028,-7.142804145812988,-4.7993482439778745e-05,-0.0002541057183407247,0.0006238966016098857,0.0003529696841724217,0.004572700010612607,0.0,0.0,0.00011248544615227729
29,0.8475053619716775,20.98909317558462,-6.857780769748514e-05,-22.03282643194229,0.0005691910014275363,2.7560969328987994e-07,-15.104280471801758,0.0006474922993220389,-7.342403411865234,0.0002934443764388561,-3.2262789318338037e-05,0.0006131844129413366,3.0385835998458788e-05,0.005928599974140525,0.0,0.0,0.00011248544615227729
30,4.374252843947686,-20.058486300450536,0.00018092325470003663,17.33212851378402,0.00035725414374838623,1.424995446086541e-07,-15.763927459716797,0.0006030148360878229,-7.41356897354126,0.0001859766780398786,0.0002864536363631487,3.6753765016328543e-05,0.00022441531473305076,0.0026527000591158867,0.0,0.0,0.00011248544615227729
31,-0.7804772467598028,-2.1238585037931337,-1.3732536421659535e-05,-7.0166348007056465,0.00041675452735587146,1.623901511038639e-07,-15.633264541625977,0.0004720879951491952,-7.6583452224731445,0.00021889901836402714,-1.2089883057342377e-05,0.0004781611787620932,4.03698095396976e-06,0.0026370000559836626,0.0,0.0,0.00011248544615227729
32,6.190210964595994,-1.8586108981303056,-2.7291892272190636e-05,-13.723894321969702,0.00036017664329948993,3.56529774592218e-08,-17.149433135986328,0.00021767232101410627,-8.432519912719727,0.00018748956790659577,-1.8800619727699086e-05,1.557978248456493e-05,7.184464720921824e-06,0.0020871999440714717,0.0,0.0,0.00011248544615227729
33,0.8289836096848031,-6.68657434729397,-6.454125906183267e-05,-12.702226320314535,0.0003666421018696941,2.77356718925148e-07,-15.09796142578125,0.0006154492730274796,-7.393157958984375,0.0001937987544806674,-4.523401730693877e-05,0.0006863572052679956,6.647574628004804e-05,0.0026431999867781997,0.0,0.0,0.00011248544615227729
34,4.3433263819438,5.664058322434993,5.5865214157847415e-05,-5.517618290184217,0.0004900252924283197,9.725375349489696e-08,-16.14594268798828,0.0004671404603868723,-7.668880462646484,0.00025445185019634664,4.6807504986645654e-05,0.00011296110460534692,0.00021880109852645546,0.0026181000284850597,0.0,0.0,0.00011248544615227729
