step,q1,q2,cv,q3,ch,mse,log_mse,mae,log_mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,learned_drift_length
0,10.0,-10.0,0.0,10.0,0.0,2.8923974326744428e-08,-17.35859489440918,0.00017351825954392552,-8.65922737121582,-5.606640343103209e-07,-3.382152272024541e-06,0.00015706980775576085,0.0001820810721255839,0.4415443999459967,0.0,0.0,0.00017351825954392552,0.6000000397409028
1,-0.05512580879023461,3.890361517741415,0.00013486777519580904,0.17048707687937723,-0.00011702396894207644,3.562685435554158e-08,-17.150165557861328,0.00030241694184951484,-8.103703498840332,-5.222747859079391e-05,0.00012891521328128874,8.161863661371171e-05,0.00016092986334115267,0.0022951000137254596,0.0,0.0,0.00017351825954392552,0.6000000397409028
2,8.145217251572402e-06,1.5185382692302212,-4.59082383413823e-05,-1.7706419595121143e-06,3.583052932724353e-05,2.1974573272132147e-08,-17.633378982543945,0.00020276491704862565,-8.503463745117188,1.687569238129072e-05,-4.71797538921237e-05,0.00015366062871180475,0.00012375832011457533,0.0022360000293701887,0.0,0.0,0.00017351825954392552,0.6000000397409028
3,3.185924751953336e-06,10.920087674423959,-2.640501441488481e-05,6.261244748020632e-07,3.064198919400386e-05,4.637546169306006e-08,-16.88649559020996,0.00024403772840742022,-8.318187713623047,1.3304948879522271e-05,-3.0903887818567455e-05,0.00012694677570834756,0.00027271101134829223,0.002060699975118041,0.0,0.0,0.00017351825954392552,0.6000000397409028
4,-0.005202511385166507,-18.877520401508708,0.00013404485603788727,-0.0010600916339589422,0.00011888413656310599,3.633271319358755e-07,-14.827961921691895,0.000683518301229924,-7.288257122039795,5.713332211598754e-05,0.00013380160089582205,0.000808053882792592,0.0001771129172993824,0.005736200022511184,0.0,0.0,0.00017351825954392552,0.6000000397409028
5,4.9588240055243946e-05,8.56804667656115,-1.9801482004493714e-05,-0.00039477580518950935,-1.3574551167695955e-05,2.9860128591963075e-08,-17.32674217224121,0.00017651115194894373,-8.642126083374023,-6.288635631790385e-06,-2.3768261598888785e-05,5.8098172303289175e-05,0.0002348103589611128,0.005425999988801777,0.0,0.0,0.00017351825954392552,0.6000000397409028
6,1.501034412535357e-05,-4.256250859480009,4.814554825052374e-06,-2.887819786980704e-06,1.162622154565752e-05,5.593489049715572e-08,-16.699077606201172,0.00019472267013043165,-8.543933868408203,6.771404514438473e-06,3.897582701029023e-06,0.00033237121533602476,3.573614958440885e-05,0.002142600016668439,0.0,0.0,0.00017351825954392552,0.6000000397409028
7,0.000611192534299901,-0.3057802823375729,-3.6039472312555454e-06,-2.1803257761897163e-06,1.543302509323739e-05,2.6621570725637866e-08,-17.441543579101562,0.00016595813212916255,-8.703775405883789,7.94315474195173e-06,-5.415808573161485e-06,0.00020954335923306644,9.565497020957991e-05,0.005762099986895919,0.0,0.0,0.00016595813212916255,0.6000000397409028
8,2.984846276801362e-06,10.638174660288627,-4.6275086078847534e-05,-1.5226692938847994e-05,5.832808855884875e-05,4.61847271537863e-08,-16.89061737060547,0.0002694317954592407,-8.219195365905762,2.579992542450782e-05,-5.019324453314766e-05,0.00011873104813275859,0.00026814622106030583,0.0020424999529495835,0.0,0.0,0.00016595813212916255,0.6000000397409028
9,5.626335442497036e-06,0.865024681831057,2.893526229285709e-05,3.222314533382081e-07,-5.954302141569165e-05,2.2881316397160845e-08,-17.592945098876953,0.00019557669293135405,-8.539558410644531,-2.5954364900826477e-05,2.5978566554840654e-05,0.00017363160441163927,0.00011365592945367098,0.0026544000720605254,0.0,0.0,0.00016595813212916255,0.6000000397409028
10,3.148502194381192e-06,11.262294148996242,0.00020847573212350368,-6.588492935261115e-08,0.0002502007719114937,9.984887583414093e-08,-16.11960792541504,0.0005176477134227753,-7.566215515136719,0.0001120624874602072,0.00019800278823822737,0.00013690486957784742,0.0002782599476631731,0.0020155999809503555,0.0,0.0,0.00016595813212916255,0.6000000397409028
11,4.032226588610519e-05,10.100089005224225,-0.00563891123371124,-9.09727353861572e-06,0.005704301694389255,3.6907560570398346e-05,-10.207094192504883,0.008250645361840725,-4.797463893890381,0.002566557377576828,-0.0055028521455824375,0.00010302131704520434,0.00025945217930711806,0.00216480006929487,0.0,0.0,0.00016595813212916255,0.6000000397409028
12,2.5808643800350637e-05,10.773691812269465,0.0009010469162338688,-1.168526654990058e-06,0.0009945503859429088,1.006787215374061e-06,-13.808746337890625,0.0015169994439929724,-6.491021156311035,0.0004470825369935483,0.0008734053699299693,0.00012268222053535283,0.00027034079539589584,0.002721099997870624,0.0,0.0,0.00016595813212916255,0.6000000397409028
13,1.411480146621838e-06,-0.8661899939004325,0.0001377500015009968,-8.01713167482472e-06,-0.00025766914333316253,6.02893663881332e-08,-16.624109268188477,0.00040439231088384986,-7.813125133514404,-0.00011487654410302639,0.00013256257807370275,0.0002268502867082134,8.705609798198566e-05,0.0020372000290080905,0.0,0.0,0.00016595813212916255,0.6000000397409028
14,2.556575308407852e-05,-5.208360462049099,0.00026192725030276936,-2.071511165421945e-05,0.00026513501991345066,1.454542513101842e-07,-15.743404388427734,0.0005678008310496807,-7.4737396240234375,0.00012098233855795115,0.00025484547950327396,0.0003623187367338687,2.162726923415903e-05,0.0025689000030979514,0.0,0.0,0.00016595813212916255,0.6000000397409028
15,-1.9006671369881557e-05,-7.832333092315744,-7.003467909783994e-06,-5.018587382013166e-05,9.054316837774934e-06,9.951860135970492e-08,-16.122920989990234,0.00024482328444719315,-8.314973831176758,6.112853043305222e-06,-6.642821517743869e-06,0.0004455664020497352,1.8568833183962852e-05,0.002618099912069738,0.0,0.0,0.00016595813212916255,0.6000000397409028
16,-0.0003839204258753253,-29.674086402989236,-0.0025898073173678962,0.012443256281805617,-0.0026064259698639416,8.461145625915378e-06,-11.680026054382324,0.00443919375538826,-5.417282581329346,-0.0011676221620291471,-0.002519979141652584,0.0011789308628067374,0.0003242536331526935,0.002308199997060001,0.0,0.0,0.00016595813212916255,0.6000000397409028
17,2.2849324093177713e-06,-6.373736702872618,3.288706210702846e-05,-3.4093131796267177e-06,-2.955610393283407e-05,8.082881919335705e-08,-16.3309326171875,0.00024587009102106094,-8.310707092285156,-1.1466317118902225e-05,3.18519159918651e-05,0.00039916200330480933,5.941678409726592e-06,0.0020667000208050013,0.0,0.0,0.00016595813212916255,0.6000000397409028
18,0.0007728804122854378,13.184240190424154,9.366913818261936e-05,1.2201029711478528e-07,8.60388013838224e-05,7.521785505559819e-08,-16.402877807617188,0.0003745164431165904,-7.8898749351501465,3.794431177084334e-05,8.548963523935527e-05,0.0001925403776112944,0.00030962462187744677,0.002103199949488044,0.0,0.0,0.00016595813212916255,0.6000000397409028
19,-1.947393713016693e-05,17.861629028629753,-0.00057514685990012,-0.00037583483569772686,-0.000413240605666816,4.856763666793995e-07,-14.537723541259766,0.0011117086978629231,-6.801856994628906,-0.00018731842283159494,-0.0005680242902599275,0.0003257090866100043,0.000387022941140458,0.005377500085160136,0.0,0.0,0.00016595813212916255,0.6000000397409028
