step,q1,q2,cv,q3,ch,mse,log_mse,mae,log_mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,learned_drift_length
0,10.0,-10.0,0.0,10.0,0.0,2.8923974326744428e-08,-17.35859489440918,0.00017351825954392552,-8.65922737121582,-5.606640343103209e-07,-3.382152272024541e-06,0.00015706980775576085,0.0001820810721255839,0.541909100022167,0.0,0.0,0.00017351825954392552,0.6825970206570525
1,0.2527994924534635,-26.72601097318901,-0.0005493527649992337,0.4071523760836679,5.005526299852512e-05,8.544330967197311e-07,-13.972827911376953,0.001219819881953299,-6.709052085876465,2.7120087906951085e-05,-0.0005355460452847183,0.0010246275924146175,0.00028967985417693853,0.0026576999807730317,0.0,0.0,0.00017351825954392552,0.6825970206570525
2,0.0001829341282454384,-28.78779291614504,0.003924041734287155,0.004184035047419312,-0.0031932605915337467,1.7441565432818606e-05,-10.95665454864502,0.005994002800434828,-5.116995811462402,-0.0014318337198346853,0.003831915557384491,0.0011480720713734627,0.0003124344802927226,0.002002399996854365,0.0,0.0,0.00017351825954392552,0.6825970206570525
3,-7.617923139869986e-06,-12.689137689241626,0.00015269199528079622,-6.709827468358725e-06,0.00015774580383012726,2.1346164658098132e-07,-15.359808921813965,0.000569850904867053,-7.470135688781738,7.37150912755169e-05,0.00015036661352496594,0.0006024037138558924,8.913469355320558e-05,0.004054299904964864,0.0,0.0,0.00017351825954392552,0.6825970206570525
4,8.026161951737002e-07,-8.547616954251144,-2.5644426469122597e-05,-3.513947634614903e-06,-2.4818467956864765e-05,1.108225831103482e-07,-16.015335083007812,0.0002823321265168488,-8.172426223754883,-9.029123248183168e-06,-2.4623390345368534e-05,0.0004684367449954152,2.8922531782882288e-05,0.002542800037190318,0.0,0.0,0.00017351825954392552,0.6825970206570525
5,1.3491106392643813e-05,-2.789957382637348,-0.0013148992225036774,-5.548789577230254e-06,0.0011821697875766253,1.9738210994546534e-06,-13.135539054870605,0.0019886987283825874,-6.220274925231934,0.0005333139561116695,-0.0012832308420911431,0.0002865178103093058,5.779026832897216e-05,0.0020230000372976065,0.0,0.0,0.00017351825954392552,0.6825970206570525
6,-0.001139981747725314,0.06575532853684948,-0.0006570179644353635,0.003085999896674517,-0.0006529112320549526,5.235279445514607e-07,-14.462675094604492,0.0010852535488083959,-6.825941562652588,-0.00029286203789524734,-0.0006426455220207572,0.00019814702682197094,0.00010134491458302364,0.0020444999681785703,0.0,0.0,0.00017351825954392552,0.6825970206570525
7,9.670975829770982e-07,-5.38276448974152,-0.000133815759326618,-6.608484181977379e-06,-3.683523764541722e-05,8.519882754853825e-08,-16.278278350830078,0.000339287071255967,-7.988664150238037,-1.4880036360409576e-05,-0.00013095568283461034,0.0003678204957395792,1.908222839119844e-05,0.002340200007893145,0.0,0.0,0.00017351825954392552,0.6825970206570525
8,4.227681866725669e-06,-7.724632957168214,0.0001201437106613418,-6.1920652065214874e-06,0.00017163633486790304,1.1792337772931205e-07,-15.953230857849121,0.0004261336871422827,-7.7607574462890625,7.925960380816832e-05,0.00011729630932677537,0.0004421263874974102,1.7029155060299672e-05,0.006280200090259314,0.0,0.0,0.00017351825954392552,0.6825970206570525
9,5.42668794912931e-07,-9.603666089245717,2.937054633686379e-05,-4.127097782331688e-06,4.4953644884293056e-05,1.2852515851591306e-07,-15.867140769958496,0.00032515786006115377,-8.03119945526123,2.25177536776755e-05,2.9301938411663286e-05,0.0005023485282436013,4.432783316588029e-05,0.0024396999506279826,0.0,0.0,0.00017351825954392552,0.6825970206570525
10,2.5285202378454817e-06,2.0136193324375657,-0.0027092574756793263,-1.307004462789929e-06,0.0007595771934233021,7.126735454221489e-06,-11.851656913757324,0.003121586050838232,-5.769413948059082,0.0003424951864872128,-0.0026440864894539118,0.00013857528392691165,0.00013143343676347286,0.0020790999988093972,0.0,0.0,0.00017351825954392552,0.6825970206570525
11,8.24451833270959e-06,1.9907196983871873,0.0014196464343661978,0.00010136421395259365,-0.0014489894700144865,2.351386228838237e-06,-12.960505485534668,0.0021681361831724644,-6.13388729095459,-0.000651356705930084,0.0013816046994179487,0.00013927042891737074,0.00013107917038723826,0.00212610000744462,0.0,0.0,0.00017351825954392552,0.6825970206570525
12,1.4400584790997295e-06,-3.3412300896097973,-4.909310426245458e-05,-2.5352320698922625e-06,-9.631120645332416e-05,5.1497018205282075e-08,-16.781742095947266,0.00026743687340058386,-8.226627349853516,-4.1926701669581234e-05,-4.8916459491010755e-05,0.00030371968750841916,4.946771150571294e-05,0.0024616000009700656,0.0,0.0,0.00017351825954392552,0.6825970206570525
13,-2.454628628260649e-05,-0.4502456473452506,-0.0009716051363746137,-3.306606855249979e-05,-0.0008514304389422233,1.074220790542313e-06,-13.743914604187012,0.001485025160945952,-6.512323379516602,-0.0003821256395895034,-0.0009491752134636045,0.00021402438869699836,9.342429984826595e-05,0.0020931001054123044,0.0,0.0,0.00017351825954392552,0.6825970206570525
14,-0.0018677452199659262,-29.999918792636084,-0.0029271719262115936,-7.85822968610304e-06,-0.0028949953849439452,1.0558528629189823e-05,-11.458576202392578,0.004905407316982746,-5.317417144775391,-0.0012974239652976394,-0.002848096890375018,0.0011913208290934563,0.0003284526173956692,0.0020670000230893493,0.0,0.0,0.00017351825954392552,0.6825970206570525
