step,q1,q2,cv,q3,ch,mse,log_mse,mae,log_mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,learned_d1,learned_d2,learned_d3,learned_d4,learned_d5,learned_d6,error_d1,error_d2,error_d3,error_d4,error_d5,error_d6
0,10.0,-10.0,0.0,10.0,0.0,2.664279996622554e-08,-17.440746307373047,0.00016519649943802506,-8.708374977111816,-4.810091240869951e-07,-3.472792968750582e-06,0.00013611702888738364,0.00018636837194208056,0.598299799952656,0.0,0.0,0.00016519649943802506,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
1,-0.19811412288415675,-0.1879274910370412,7.876658974003392e-05,0.3367563064255831,-3.8858656518956616e-05,3.3633742901884034e-08,-17.20773696899414,0.00025413473485969007,-8.2776460647583,-1.9213328414480202e-05,8.248144877143204e-05,0.00020921547547914088,9.566443623043597e-05,0.005680300062522292,0.0,0.0,0.00016519649943802506,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
2,1.2047089048730229e-05,-8.802201689479398,-0.0012899561524597565,10.649934158671869,0.001287594604600628,3.566033910828992e-06,-12.54405689239502,0.0025244976859539747,-5.98171329498291,0.000670380424708128,-0.0017608455382287502,0.00017898823716677725,7.555321644758806e-06,0.0020592999644577503,0.0,0.0,0.00016519649943802506,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
3,1.21425062285059e-05,-10.70699935705793,-0.0003331464729603161,14.73795795692951,0.0003316282540927719,2.7893386800315056e-07,-15.092290878295898,0.0007274859235621989,-7.225915908813477,0.00017288443632423878,-0.0004943791427649558,9.196133760269731e-05,2.848330586857628e-05,0.002446400001645088,0.0,0.0,0.00016519649943802506,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
4,1.2340853886527546e-05,-8.450671864934785,0.00010921775343044243,12.269100521784392,9.830875970229949e-05,3.450144347993955e-08,-17.18226432800293,0.0002782738592941314,-8.186904907226562,5.171791053726338e-05,0.00015367427840828896,0.0001267257030121982,1.9037610400118865e-05,0.0025034999707713723,0.0,0.0,0.00016519649943802506,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
5,1.2149581074697673e-05,-11.927965204409988,-7.511252602911543e-05,1.6136581129452114,7.60411421970925e-05,1.5861731128552492e-07,-15.656771659851074,0.0004365124914329499,-7.736693382263184,4.1989471355918795e-05,-8.1779042375274e-05,0.0005415618070401251,8.392612653551623e-05,0.005148199968971312,0.0,0.0,0.00016519649943802506,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
6,1.255484869314246e-05,-5.6165536706924755,-0.00013311862252592108,11.775083964965454,-0.00014365330766237874,4.7967347427402274e-08,-16.852745056152344,0.00034679414238780737,-7.9667792320251465,-7.426859519910067e-05,-0.00018775349599309266,8.849285950418562e-05,8.105130109470338e-05,0.005344600067473948,0.0,0.0,0.00016519649943802506,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
7,1.1694066970327492e-05,-14.639374102707569,3.095469678150929e-05,8.315200902168744,2.135163482939113e-05,8.252580130374554e-08,-16.31015396118164,0.00030842379783280194,-8.084035873413086,1.2828337276005186e-05,4.224406075081788e-05,0.0003813738003373146,0.00012532903929241002,0.002464700024574995,0.0,0.0,0.00016519649943802506,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
8,1.1738033365910077e-05,-15.230064922811836,0.00013939928308805225,13.551972285996323,0.00013002560314859674,7.653207489966007e-08,-16.385555267333984,0.0004431440611369908,-7.721615791320801,6.85423583490774e-05,0.00020436504564713687,0.00020322788623161614,0.00013724545715376735,0.005490400013513863,0.0,0.0,0.00016519649943802506,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
9,1.2028610134055111e-05,-10.61238698600464,0.0001621299883831046,11.682030916626463,0.000152450071858119,7.518751488078124e-08,-16.40328025817871,0.00041580054676160216,-7.785305023193359,8.01220812718384e-05,0.0002265547082060948,0.00018350747996009886,3.474007826298475e-05,0.0020866000559180975,0.0,0.0,0.00016519649943802506,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
10,1.2460906001860096e-05,-6.117650215711424,-3.002272897282249e-05,13.552994283519393,3.054615921168391e-05,6.915365169390952e-09,-18.789520263671875,0.00012796823284588754,-8.963728904724121,1.6155898265424185e-05,-4.521693699643947e-05,5.337294714991003e-05,7.981785893207416e-05,0.002960299956612289,0.0,0.0,0.00012796823284588754,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
11,1.17728330131436e-05,-13.941527031550459,-7.005325567192417e-05,1.3498860511473794,6.849733086584063e-05,2.0362307395771495e-07,-15.406994819641113,0.00047971788444556296,-7.642312526702881,3.839380951831117e-05,-7.506232941523194e-05,0.0006159955519251525,0.00011652792454697192,0.0026174000231549144,0.0,0.0,0.00012796823284588754,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
12,1.2921219953612812e-05,-1.5587948768603543,-1.698333674663683e-05,11.541002927571698,0.0001818616158279386,2.5009445181467527e-08,-17.504013061523438,0.0002186255733249709,-8.428150177001953,9.469872020417824e-05,-2.7023281290894374e-05,1.9955308744101785e-05,0.0001738518476486206,0.002683199942111969,0.0,0.0,0.00012796823284588754,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
13,1.2501737557884007e-05,-5.180618639049389,6.353277818409789e-05,10.977368513111882,0.0052221348590061455,7.39259303372819e-06,-11.815032005310059,0.002894351724535227,-5.844994068145752,0.0027159922756254673,8.552733925171196e-05,9.961979958461598e-05,8.604458707850426e-05,0.0020903999684378505,0.0,0.0,0.00012796823284588754,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
14,1.3332200776843978e-05,3.635586300501416,-0.00598782556635048,3.6452116996978208,-0.0028697069410003485,5.0889018893940374e-05,-9.885863304138184,0.00858425721526146,-4.7578253746032715,-0.001492034294642508,-0.006974370218813419,3.344703509355895e-05,0.00020225714251864702,0.002355000004172325,0.0,0.0,0.00012796823284588754,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
15,1.2725150094125662e-05,-8.229292964164875,1.2738666391710038e-05,13.296055482342107,-3.229138026694688e-05,5.446485040749849e-09,-19.028295516967773,9.538956510368735e-05,-9.25754165649414,-1.63383247127058e-05,1.7637818018556572e-05,9.453204984311014e-05,2.829478216881398e-05,0.0021657999604940414,0.0,0.0,9.538956510368735e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
16,1.3468239634699092e-05,4.384145375908542,2.256076564350389e-06,6.357187030388633,-2.4605765270910974e-06,3.149164484739231e-08,-17.273544311523438,0.00013927965483162552,-8.879026412963867,-1.3152686051398632e-06,-1.9649526166176656e-06,2.2024845748092048e-05,0.00024997402215376496,0.005818100064061582,0.0,0.0,9.538956510368735e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
17,1.2693890793129453e-05,-10.152382342109432,-6.472308407264073e-05,4.141862627754067,8.425951953113957e-05,9.12173589995291e-08,-16.210020065307617,0.000347830617101863,-7.963794708251953,4.565963536151685e-05,-7.5567550084088e-05,0.0004056927573401481,4.751409505843185e-05,0.005638299975544214,0.0,0.0,9.538956510368735e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
18,1.1888812403607904e-05,-13.73727530778039,4.221700823274738e-05,10.134727806052508,9.714770630771387e-07,5.296823601952383e-08,-16.75357437133789,0.00026158796390518546,-8.248740196228027,1.8529442513681715e-06,5.8701592934085056e-05,0.0002964508312288672,0.00010561606177361682,0.00577970000449568,0.0,0.0,9.538956510368735e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
19,1.2013490252401705e-05,-13.016001515460571,2.8947478250608457e-05,7.12323190767504,-1.11981518218311e-05,7.974161064794316e-08,-16.34447479248047,0.0002814519975800067,-8.175548553466797,-4.081332463101717e-06,3.808789551840164e-05,0.0003842586884275079,9.430686623090878e-05,0.005655700108036399,0.0,0.0,9.538956510368735e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
20,-0.0003602228638460408,-17.737681879653977,-0.0014941337195488633,-7.510105709731756,0.001397115744620568,2.8052913876308594e-06,-12.784003257751465,0.002649518195539713,-5.933377265930176,0.0007315084803849459,-0.0012770239263772964,0.0011190378572791815,0.00016293380758725107,0.005602699937298894,0.0,0.0,9.538956510368735e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
21,1.190980707577819e-05,-13.35317630221874,-6.515298999103507e-05,13.894395163299775,7.919830757849383e-05,2.7705631566732336e-08,-17.401630401611328,0.00026227132184430957,-8.24613094329834,4.192271808278747e-05,-9.365170262753963e-05,0.0001602434931555763,9.31502872845158e-05,0.0055954999988898635,0.0,0.0,9.538956510368735e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
22,1.1534003838055574e-05,-17.663769039908306,-0.0002124206866308779,9.612289513495297,-0.00025495355258752265,1.9357977976142138e-07,-15.457575798034668,0.0007052040891721845,-7.257023334503174,-0.00013076870527584106,-0.0002803067327477038,0.00040087976958602667,0.0001873775472631678,0.005822299979627132,0.0,0.0,9.538956510368735e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
23,2.327478937413538e-05,-13.082972784966547,-4.465022366072483e-05,11.298588043538954,6.29368995129826e-05,3.842487927840921e-08,-17.074560165405273,0.0002608881623018533,-8.251419067382812,3.383799048606306e-05,-6.035981641616672e-05,0.0002431814355077222,9.01992607396096e-05,0.005552300019189715,0.0,0.0,9.538956510368735e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
24,1.247050088231331e-05,-7.601209885043311,-1.2759785044709513e-05,14.377721892094076,3.881762202313255e-05,3.5114511298672824e-09,-19.467235565185547,9.218146442435682e-05,-9.291751861572266,2.046357076324057e-05,-1.9921517377952114e-05,5.539664562093094e-05,4.819610694539733e-05,0.006394799915142357,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
25,1.9776186670637188e-05,1.5531490283680018,-1.3638459506174009e-05,8.78787761724032,3.5291381082892494e-05,2.457025516378053e-08,-17.521728515625,0.00015335221542045474,-8.7827730178833,1.8435432139085606e-05,-2.206886165367905e-05,7.925552381493617e-06,0.00021777028450742364,0.005600599921308458,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
26,1.1723773531570094e-05,-15.830218733911659,8.020367252187434e-05,11.073967664310366,-6.651875014340802e-05,7.181908756592748e-08,-16.449115753173828,0.00037403960595838726,-7.891149044036865,-3.320491669001058e-05,0.00011297957098577172,0.0003055351262446493,0.00015017508121673018,0.005656099994666874,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
27,2.026757109598876e-05,-14.971944531612168,3.676806560904098e-05,2.6223813014565174,-6.100314303786036e-06,1.9164808406912925e-07,-15.467604637145996,0.000411565211834386,-7.795543193817139,-4.6437435230473056e-07,4.400104808155447e-05,0.0006015129038132727,0.00013268670591060072,0.005606399965472519,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
28,1.2158067312525895e-05,-9.278125856137063,9.601420945488205e-05,3.4350984041007147,-7.809274755114734e-05,9.542421963715242e-08,-16.164934158325195,0.0003687449498102069,-7.905405521392822,-3.877693961840123e-05,0.00011165166506543756,0.00040214357431977987,3.4489094105083495e-05,0.005641499999910593,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
29,8.087171279622008e-06,0.007063033487447715,4.203592687073963e-05,5.329336399547302,-1.7566782925705862e-05,1.8952867719690403e-08,-17.78131103515625,0.00018307380378246307,-8.605621337890625,-8.624135261925403e-06,4.800043097930029e-05,0.00010226161975879222,0.00015063685714267194,0.005589299951680005,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
30,1.259911841911389e-05,-9.36137767043163,-3.9265392228455496e-05,6.1241824837711,5.7289615854105166e-05,5.6075656118537154e-08,-16.696563720703125,0.0002546611940488219,-8.2755765914917,3.12702359224204e-05,-4.818745219381526e-05,0.0003237953351344913,2.6611693101585843e-05,0.005591999972239137,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
31,1.1574860339899396e-05,-16.21338278641629,0.00011703274159810835,14.706688805391487,-0.0001044706170397801,6.248004069675517e-08,-16.58841896057129,0.0003985472139902413,-7.82768440246582,-5.351558866095729e-05,0.0001763497421052307,0.00017663859762251377,0.00016072521975729614,0.005545299965888262,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
32,1.1707627718079694e-05,-15.617700961565369,6.20246257187983e-05,7.521989478620642,1.9643816683990496e-05,1.1158725499171851e-07,-16.008459091186523,0.0003831778303720057,-7.867011547088623,1.2174941730336286e-05,8.149495261022821e-05,0.0004343621840234846,0.00014465369167737663,0.005776099977083504,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
33,-9.9622977984075e-06,-9.45905515340754,1.6948892231660676e-05,11.664961838153658,-2.57919750407915e-05,1.3958168842975738e-08,-18.087200164794922,0.00012276548659428954,-9.005234718322754,-1.2656307262659539e-05,2.3554748622700572e-05,0.00016239301476161927,1.0715840289776679e-05,0.005797499907203019,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
34,1.2370520499827843e-05,-8.613869585294456,0.00020940965261800385,-8.482306124143154,0.0004790894804942901,3.7152591403355473e-07,-14.805646896362305,0.0008325798553414643,-7.090981483459473,0.0002524821029510349,0.00017507212760392576,0.0007413033745251596,6.874783866805956e-05,0.005553200026042759,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
35,1.187970934873993e-05,-14.261775955775775,0.00011752703173266902,8.481512867846364,-0.00010124761666035651,1.0071357792185154e-07,-16.110984802246094,0.00044806525693275034,-7.710571765899658,-5.098882320453413e-05,0.00015497331332881004,0.00036653410643339157,0.00011767214891733602,0.005662200041115284,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
36,1.2197177711828978e-05,-15.89775722280534,6.078895255232987e-05,11.90940930213984,2.1508687403191512e-05,5.738652220088625e-08,-16.6734561920166,0.00031398990540765226,-8.066149711608887,1.2435692951839883e-05,8.775213791523129e-05,0.0002756091707851738,0.00015199495828710496,0.0055954999988898635,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
37,9.813318058657071e-06,-11.26725751052634,-3.28915839717264e-05,13.421034256936629,-7.914095657811027e-05,1.4848509977127833e-08,-18.025365829467773,0.0001806639484129846,-8.618871688842773,-4.049526251037605e-05,-4.6980327169876546e-05,0.0001413279678672552,4.5048749598208815e-05,0.007828000001609325,0.0,0.0,9.218146442435682e-05,0.10516972160385302,0.30972908844034114,0.10129280379574328,0.0,0.0,0.0,0.094830278396147,0.19027091155965886,0.07870719620425672,0.24,0.16,0.52
