step,q1,q2,cv,q3,ch,mse,log_mse,mae,log_mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,0.0,10.0,0.0,2.664279996622554e-08,-17.440746307373047,0.00016519649943802506,-8.708374977111816,-4.810091240869951e-07,-3.472792968750582e-06,0.00013611702888738364,0.00018636837194208056,0.4049108000472188,0.0,0.0,0.00016519649943802506
1,10.0,-10.0,0.0,10.0,0.0,2.664279996622554e-08,-17.440746307373047,0.00016519649943802506,-8.708374977111816,-4.810091240869951e-07,-3.472792968750582e-06,0.00013611702888738364,0.00018636837194208056,0.00216299993917346,0.0,0.0,0.00016519649943802506
2,10.0,-10.0,0.0,10.0,0.00025,4.3417735184902995e-08,-16.9523983001709,0.00029423448722809553,-8.131133079528809,0.0001295189867960289,-3.472792968750582e-06,0.00013611702888738364,0.00018636837194208056,0.002004500012844801,0.0,0.0,0.00016519649943802506
3,10.0,-10.0,0.00025,10.0,0.0,1.3753090399859502e-07,-15.799417495727539,0.0004947404377162457,-7.611477375030518,-4.810091240869951e-07,0.00033301676739938557,0.00013611702888738364,0.00018636837194208056,0.002069000038318336,0.0,0.0,0.00016519649943802506
4,10.5,-10.0,0.0,10.0,0.0,3.125655467783872e-08,-17.281036376953125,0.00017962050333153456,-8.624664306640625,-5.543208203562244e-07,-3.6640292364609195e-06,0.00015356381481979042,0.00019724047160707414,0.002215399988926947,0.0,0.0,0.00016519649943802506
5,10.0,-10.5,0.0,10.0,0.0,2.2891741835451285e-08,-17.59248924255371,0.00015391413762699813,-8.779115676879883,-4.6762494321228587e-07,-3.128576508970582e-06,0.00013339894940145314,0.00016723692533560097,0.002802100032567978,0.0,0.0,0.00015391413762699813
6,10.0,-10.0,0.0,10.5,0.0,2.7568050953163947e-08,-17.40660858154297,0.00016745933680795133,-8.694769859313965,-4.76924981285265e-07,-3.587975697882939e-06,0.0001341162424068898,0.00019267261086497456,0.0020186000037938356,0.0,0.0,0.00015391413762699813
7,10.2,-10.2,-0.00025,10.2,0.0001,1.4637062406563928e-07,-15.737123489379883,0.0005562197184190154,-7.494347095489502,5.1496866944944486e-05,-0.0003413963713683188,0.00014115312660578638,0.00018549988453742117,0.002146999933756888,0.0,0.0,0.00015391413762699813
8,10.035,-10.035,0.00016250000000000002,10.035,1.75e-05,7.32026634864269e-08,-16.430034637451172,0.00038564507849514484,-7.860593318939209,8.615083061158657e-06,0.00021541309251915663,0.00013700754789169878,0.00018622625793796033,0.002008100040256977,0.0,0.0,0.00015391413762699813
9,10.165,-10.165,-0.00016250000000000002,10.165,8.25e-05,7.858142225813936e-08,-16.359130859375,0.00042832744657061994,-7.755622386932373,4.2400704842293635e-05,-0.00022295527742244303,0.00014028111763764173,0.00018566183280199766,0.0022193000186234713,0.0,0.0,0.00015391413762699813
10,10.05775,-10.05775,0.00010562500000000002,10.05775,2.8874999999999997e-05,4.628468275313935e-08,-16.88845443725586,0.000315261073410511,-8.062108993530273,1.4527549865306355e-05,0.00013887551904190332,0.00013758428394794464,0.00018613171414472163,0.0032969999592751265,0.0,0.0,0.00015391413762699813
11,10.142249999999999,-10.142249999999999,-0.00010562500000000002,10.142249999999999,7.112500000000001e-05,4.968008937566992e-08,-16.81766128540039,0.00034529060940258205,-7.971124172210693,3.648820347734727e-05,-0.00014606391778215766,0.00013971210864838213,0.00018576487491372973,0.002424699952825904,0.0,0.0,0.00015391413762699813
12,10.072537500000001,-10.072537500000001,6.865625000000002e-05,10.072537500000001,3.626875e-05,3.51009035171046e-08,-17.1650390625,0.00026947029982693493,-8.2190523147583,1.8370657926425338e-05,8.908585004974157e-05,0.00013795831182505935,0.0001860692718764767,0.0019449000246822834,0.0,0.0,0.00015391413762699813
